erin@debian:~/Main/Julia$ julia may27-calling.jl 
helo the file opened
After sweep 1 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=13.916
After sweep 2 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.001
After sweep 3 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.001
After sweep 4 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 5 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 6 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 7 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 8 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.001
After sweep 9 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 10 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 11 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 12 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 13 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 14 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 15 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 16 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 17 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 18 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 19 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
After sweep 20 energy=-0.7500000000000001  maxlinkdim=2 maxerr=0.00E+00 time=0.000
Energy: -0.750000
Difference: 0.000000
After sweep 1 energy=-1.5000000000000002  maxlinkdim=2 maxerr=6.24E-32 time=11.057
After sweep 2 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.001
After sweep 3 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.001
After sweep 4 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.002
After sweep 5 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.002
After sweep 6 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.001
After sweep 7 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.002
After sweep 8 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.001
After sweep 9 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.002
After sweep 10 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.002
After sweep 11 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.002
After sweep 12 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.001
After sweep 13 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.001
After sweep 14 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.002
After sweep 15 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.001
After sweep 16 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.001
After sweep 17 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.001
After sweep 18 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.001
After sweep 19 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.002
After sweep 20 energy=-1.5000000000000002  maxlinkdim=2 maxerr=0.00E+00 time=0.002
Energy: -1.500000
Difference: 0.000000
After sweep 1 energy=-2.2500000000000004  maxlinkdim=3 maxerr=1.63E-14 time=0.004
After sweep 2 energy=-2.249999999999999  maxlinkdim=2 maxerr=4.50E-33 time=0.003
After sweep 3 energy=-2.2499999999999996  maxlinkdim=2 maxerr=1.54E-33 time=0.002
After sweep 4 energy=-2.2499999999999996  maxlinkdim=2 maxerr=1.54E-33 time=0.003
After sweep 5 energy=-2.2499999999999996  maxlinkdim=2 maxerr=1.54E-33 time=0.003
After sweep 6 energy=-2.2499999999999996  maxlinkdim=2 maxerr=1.54E-33 time=0.003
After sweep 7 energy=-2.2499999999999996  maxlinkdim=2 maxerr=1.54E-33 time=0.003
